,x,y,z
7194,0.03,0.05,1.0
8966,0.04,0.03,1.0
5010,0.06,0.15000000000000002,0.97
17880,0.04,0.03,1.0
337,0.04,0.03,1.0
7919,0.04,0.04,1.01
2349,0.03,0.04,1.01
4246,0.03,0.05,1.0
14670,0.04,0.02,1.0
18416,0.04,0.05,1.0
17965,0.05,0.03,1.0
7102,0.04,0.05,1.0
6504,0.04,0.03,1.01
14491,0.04,0.03,1.0
5241,0.02,0.06,1.01
11656,0.04,0.03,1.0
33,0.04,0.02,1.0
15001,0.04,0.02,1.0
311,0.04,0.02,1.0
7544,0.04,0.04,1.0
7704,-0.05,0.43,1.21
16569,0.08,0.09,1.03
14200,0.04,0.03,1.0
9111,0.04,0.02,1.0
17340,0.07,0.12,1.02
14098,-0.12,0.27,1.05
14580,0.04,0.03,1.0
1748,0.04,0.05,1.0
12815,0.31,0.05,0.93
9202,0.04,0.02,1.0
11892,0.04,0.02,1.0
1026,0.04,0.03,1.0
9733,-0.23,0.04,0.95
14582,0.04,0.03,1.0
2961,0.04,0.02,1.0
10929,0.03,0.04,1.01
14417,-0.07,-0.16,0.92
19479,0.25,0.2,1.0
11951,0.04,0.03,1.0
10415,0.04,0.04,1.0
15807,0.03,0.04,1.0
11055,0.01,0.07,1.06
18764,0.23,0.3,0.94
4877,0.04,0.04,1.0
4479,0.04,0.05,1.0
11547,0.04,0.03,1.0
19262,0.04,0.04,1.0
12786,0.04,0.04,1.0
18486,0.1,0.04,0.95
6173,0.04,0.02,1.0
12979,0.04,0.04,1.0
9877,0.04,0.05,1.0
18041,0.07,0.21,0.93
2362,0.03,0.05,1.01
18497,0.14,0.26,0.94
14047,0.14,0.27,0.93
11763,0.04,0.03,1.0
4396,0.04,0.05,1.0
5318,0.08,-0.11,0.93
8864,0.04,0.02,1.0
6656,0.04,0.03,1.0
17365,0.04,0.02,1.0
2128,0.03,0.04,1.01
7469,0.04,0.04,1.0
8306,0.04,0.04,1.01
16108,0.0,0.34,0.86
733,0.04,0.02,1.0
5929,0.04,0.65,0.84
16509,0.04,0.04,1.01
3954,0.04,0.03,1.0
79,0.04,0.02,1.0
7269,0.04,0.05,1.0
17056,0.04,0.03,1.0
333,0.04,0.03,1.0
14709,0.04,0.02,1.0
19265,0.04,0.05,1.0
15695,0.04,0.04,1.0
2192,0.11,0.009999999999999995,0.96
6850,0.04,0.05,1.0
8288,0.04,0.05,1.01
15960,0.03,0.04,1.0
6831,0.04,0.03,1.0
4582,0.04,0.05,1.0
214,0.04,0.03,1.0
7373,0.04,0.04,1.0
3250,0.04,0.03,1.0
8268,0.03,0.04,1.0
106,0.04,0.02,1.0
6242,0.04,0.03,1.0
5952,0.04,0.03,1.0
9675,0.04,0.02,1.0
5017,0.04,0.04,1.01
11622,0.04,0.03,1.0
10943,0.04,0.04,1.01
1530,0.03,-0.02,1.0
13217,0.04,0.05,1.0
10233,0.04,0.05,1.0
1665,0.01,0.06,1.07
456,0.06,0.08,1.0
18040,0.11,-0.03,0.95
7572,0.04,0.04,1.0
14554,0.1,-0.03,1.05
19512,0.04,0.04,1.0
13955,0.04,0.03,1.0
16765,0.01,0.06,1.0
12350,0.04,0.02,1.0
18739,0.04,0.04,1.0
17496,0.13,-0.18,1.0
5985,0.02,-0.04,1.04
4762,0.04,0.04,1.0
19768,0.05,0.06,0.96
8755,0.04,0.02,1.0
13875,0.03,0.03,1.0
3813,0.03,0.03,1.0
19471,-0.05,0.04,1.11
19457,0.04,0.05,1.01
7512,0.01,0.1,1.15
173,0.14,0.13,0.98
9949,0.04,0.05,1.0
335,0.04,0.03,1.0
6400,0.04,0.02,1.0
15727,0.0,0.06,0.91
15306,0.04,0.05,1.0
399,0.04,0.03,1.0
5721,0.04,0.03,1.0
750,0.04,0.03,1.0
612,0.04,0.03,1.0
13586,0.03,0.05,1.0
6488,0.04,0.02,1.0
8589,0.04,0.03,1.0
4717,0.04,0.04,1.0
7483,0.04,0.04,1.0
7103,0.04,0.04,1.0
10043,0.0,0.0,0.94
3171,0.04,0.03,1.0
9385,0.02,0.08,1.07
16033,0.03,0.04,1.0
15041,0.16,0.36,0.97
3290,0.04,0.03,1.0
12469,0.04,0.05,1.0
5336,0.04,0.05,1.01
10633,0.04,0.04,1.0
12321,0.04,0.03,1.0
14680,0.04,0.02,1.0
19423,0.2,0.04,0.93
14529,0.04,0.03,1.0
10000,-0.04,0.01,1.1
6704,0.04,0.03,1.0
5582,0.04,0.03,1.0
17771,0.04,0.02,1.0
16805,0.04,0.0,0.99
15290,0.13,0.07,0.97
6673,0.04,0.53,0.88
10046,0.03,0.11,1.01
4812,0.04,0.04,1.0
1564,0.04,0.05,1.0
14479,0.04,0.03,1.0
17467,0.04,0.02,1.0
9406,0.02,0.04,1.02
2779,0.04,0.02,1.0
15864,0.03,0.04,1.0
2709,0.04,0.02,1.0
9998,-0.19,0.07,0.97
17076,0.11,0.2,0.99
6927,0.04,0.05,1.0
17165,0.04,0.02,1.0
13475,0.04,0.05,1.01
17944,0.04,0.03,1.0
10531,0.04,0.05,1.0
17713,0.04,0.02,1.0
16243,0.04,0.08,0.96
17926,0.04,0.03,1.0
15253,0.03,0.05,1.0
12775,0.04,0.04,1.0
7650,0.04,0.03,1.0
7883,0.04,0.05,1.01
2217,0.04,0.04,1.01
6054,0.04,0.03,1.0
18694,0.04,0.04,1.0
16478,0.04,0.05,1.01
13696,0.03,0.05,1.01
10402,-0.1,0.0,0.95
2353,0.04,0.04,1.0
13177,0.04,0.04,1.0
9789,-0.02,0.07,1.0
14997,0.04,0.03,1.0
14682,0.04,0.03,1.0
13333,0.04,0.05,1.0
7017,0.04,0.06,1.0
9479,0.04,0.03,1.0
6459,0.04,0.02,1.0
17198,0.04,0.03,1.0
14275,0.04,0.03,1.01
7050,0.04,0.05,1.0
10240,0.04,0.05,1.0
6696,0.04,0.03,1.0
2690,0.04,-0.46,0.91
19123,0.04,0.04,1.0
13554,0.03,0.04,1.02
10436,0.04,0.05,1.0
